,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasselim,pl_bmassj,pl_bmassjlim,pl_orbeccen,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqtlim
2209,52.661793,0.000236,-0.000236,0.0,0.242,0.0,2.24,0.15,-0.15,0.0,0.2,0.013000000000000001,-0.013000000000000001,0.0,5.65,0.0,0.0178,0.0,0.0,0.0,1.28,0.26,-0.25,0.0,286.0,0.0
2210,225.582809,0.003846,-0.003846,0.0,0.7681,0.0,3.02,0.71,-0.38,0.0,0.26899999999999996,0.063,-0.034,0.0,9.38,0.0,0.0295,0.0,0.0,0.0,2.31,0.15,-0.14,0.0,348.0,0.0
2211,24.4973698,0.0002094,-0.0002094,0.0,0.1772,0.0,2.66,0.91,-0.42,0.0,0.237,0.081,-0.037000000000000005,0.0,7.56,0.0,0.0238,0.0,0.0,0.0,60.42,5.44,-4.91,0.0,722.0,0.0
2212,184.771853,0.001546,-0.001546,0.0,0.6045,0.0,2.47,0.11,-0.1,0.0,0.22,0.01,-0.009000000000000001,0.0,6.66,0.0,0.021,0.0,0.0,0.0,1.85,0.08,-0.08,0.0,268.0,0.0
2213,4.24261881,2.781e-05,-2.781e-05,0.0,0.0481,0.0,1.15,0.1,-0.09,0.0,0.10300000000000001,0.009000000000000001,-0.008,0.0,1.6,0.0,0.00505,0.0,0.0,0.0,166.11,7.79,-7.42,0.0,926.0,0.0
2214,198.088774,0.002456,-0.002456,0.0,0.6314,0.0,2.9,0.23,-0.27,0.0,0.259,0.021,-0.024,0.0,8.75,0.0,0.0275,0.0,0.0,0.0,1.01,0.08,-0.07,0.0,288.0,0.0
2215,8.10501635,8.122e-05,-8.122e-05,0.0,0.0805,0.0,1.61,0.46,-0.17,0.0,0.14400000000000002,0.040999999999999995,-0.015,0.0,3.22,0.0,0.0101,0.0,0.0,0.0,483.26,62.53,-53.53,0.0,959.0,0.0
2216,8.82713457,4.025e-05,-4.025e-05,0.0,0.0829,0.0,1.96,0.4,-0.15,0.0,0.175,0.036000000000000004,-0.013000000000000001,0.0,4.5,0.0,0.0142,0.0,0.0,0.0,92.14,6.3,-5.84,0.0,797.0,0.0
2217,3.74032496,2.165e-05,-2.165e-05,0.0,0.049,0.0,1.53,0.5,-0.21,0.0,0.136,0.045,-0.019,0.0,2.96,0.0,0.0093,0.0,0.0,0.0,645.54,54.56,-49.81,0.0,1287.0,0.0
2218,3.50470358,1.612e-05,-1.612e-05,0.0,0.0419,0.0,0.68,0.06,-0.04,0.0,0.061,0.005,-0.004,0.0,0.244,0.0,0.0007700000000000001,0.0,0.0,0.0,189.89,3.49,-3.43,0.0,1019.0,0.0
