,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
3607,4500.0,116.0,-116.0,0.0,0.59,0.03,-0.03,0.0,0.65,0.03,-0.03,0.0,-0.18,0.1,-0.1,0.0,4.7,0.2,-0.2,0.0
3608,5803.0,75.93,-112.28,0.0,1.04,0.21,-0.09,0.0,1.03,0.06,-0.06,0.0,0.1,0.152,-0.15,0.0,4.42,0.07,-0.15,0.0
3609,5747.0,64.53,-57.04,0.0,1.24,0.26,-0.21,0.0,1.01,0.05,-0.04,0.0,0.05,0.08,-0.059000000000000004,0.0,4.25,0.16,-0.15,0.0
3610,6761.0,124.82,-102.89,0.0,1.71,0.64,-0.26,0.0,1.45,0.21,-0.14,0.0,0.02,0.128,-0.16899999999999998,0.0,4.13,0.12,-0.21,0.0
3611,5743.0,69.68,-59.41,0.0,0.93,0.12,-0.08,0.0,0.95,0.05,-0.07,0.0,-0.13,0.16399999999999998,-0.193,0.0,4.48,0.05,-0.12,0.0
3612,6162.0,90.5,-87.42,0.0,1.22,0.36,-0.14,0.0,1.15,0.12,-0.07,0.0,0.01,0.129,-0.159,0.0,4.33,0.09,-0.19,0.0
3613,5028.0,52.57,-43.63,0.0,3.42,0.09,-0.26,0.0,1.25,0.05,-0.19,0.0,-0.03,0.039,-0.026000000000000002,0.0,3.46,0.01,-0.01,0.0
3614,5286.0,54.61,-88.41,0.0,0.85,0.06,-0.04,0.0,0.9,0.04,-0.04,0.0,0.16,0.16,-0.185,0.0,4.54,0.04,-0.06,0.0
3615,5861.0,259.88,-241.24,0.0,1.03,0.23,-0.12,0.0,1.03,0.12,-0.08,0.0,0.02,0.139,-0.161,0.0,4.42,0.08,-0.15,0.0
3616,5638.0,214.12,-110.99,0.0,0.92,0.14,-0.08,0.0,0.94,0.07,-0.06,0.0,-0.08,0.149,-0.18100000000000002,0.0,4.49,0.06,-0.12,0.0
3617,5279.0,165.3,-111.92,0.0,0.81,0.06,-0.05,0.0,0.86,0.05,-0.05,0.0,-0.06,0.149,-0.161,0.0,4.55,0.04,-0.07,0.0
3618,5529.0,86.72,-75.01,0.0,0.9,0.04,-0.02,0.0,0.91,0.03,-0.03,0.0,0.21100000000000002,0.013999999999999999,-0.013999999999999999,0.0,4.49,0.04,-0.06,0.0
3619,5529.0,86.72,-75.01,0.0,0.9,0.04,-0.02,0.0,0.91,0.03,-0.03,0.0,0.21100000000000002,0.013999999999999999,-0.013999999999999999,0.0,4.49,0.04,-0.06,0.0
3620,5428.0,100.0,-100.0,0.0,0.94,0.14,-0.14,0.0,0.96,0.04,-0.04,0.0,0.21100000000000002,0.013999999999999999,-0.013999999999999999,0.0,4.47,0.15,-0.15,0.0
3621,5428.0,100.0,-100.0,0.0,0.94,0.14,-0.14,0.0,0.96,0.04,-0.04,0.0,0.21100000000000002,0.013999999999999999,-0.013999999999999999,0.0,4.47,0.15,-0.15,0.0
3622,6260.0,106.61,-147.98,0.0,0.9,0.04,-0.02,0.0,0.91,0.03,-0.03,0.0,0.09,0.132,-0.14,0.0,4.25,0.11,-0.25,0.0
3623,6260.0,106.61,-147.98,0.0,1.36,0.59,-0.2,0.0,1.23,0.19,-0.1,0.0,0.09,0.132,-0.14,0.0,4.25,0.11,-0.25,0.0
3624,5191.0,130.91,-100.75,0.0,0.8,0.05,-0.04,0.0,0.84,0.04,-0.05,0.0,-0.03,0.155,-0.16,0.0,4.56,0.03,-0.06,0.0
3625,5928.0,139.36,-183.56,0.0,1.08,0.25,-0.13,0.0,1.06,0.09,-0.08,0.0,0.04,0.13699999999999998,-0.147,0.0,4.4,0.08,-0.17,0.0
3626,5643.0,122.3,-122.13,0.0,0.96,0.18,-0.08,0.0,0.98,0.05,-0.05,0.0,0.06,0.14300000000000002,-0.14400000000000002,0.0,4.47,0.06,-0.15,0.0
3627,6035.0,85.61,-120.47,0.0,1.22,0.46,-0.15,0.0,1.15,0.14,-0.08,0.0,0.14,0.152,-0.141,0.0,4.32,0.1,-0.23,0.0
3628,5976.0,247.56,-202.44,0.0,1.08,0.28,-0.15,0.0,1.03,0.12,-0.08,0.0,-0.08,0.153,-0.19399999999999998,0.0,4.39,0.1,-0.16,0.0
3629,5976.0,247.56,-202.44,0.0,1.08,0.28,-0.15,0.0,1.03,0.12,-0.08,0.0,-0.08,0.153,-0.19399999999999998,0.0,4.39,0.1,-0.16,0.0
3630,6079.0,90.49,-96.47,0.0,1.15,0.18,-0.13,0.0,1.05,0.07,-0.06,0.0,-0.12,0.121,-0.129,0.0,4.34,0.1,-0.11,0.0
3631,5602.0,179.4,-142.49,0.0,0.91,0.11,-0.07,0.0,0.93,0.07,-0.06,0.0,-0.06,0.151,-0.18100000000000002,0.0,4.5,0.06,-0.11,0.0
3632,5039.0,50.73,-59.5,0.0,0.77,0.04,-0.04,0.0,0.81,0.04,-0.04,0.0,-0.02,0.16399999999999998,-0.175,0.0,4.58,0.03,-0.05,0.0
3633,5698.0,92.85,-120.29,0.0,0.97,0.2,-0.08,0.0,0.98,0.05,-0.06,0.0,0.03,0.132,-0.165,0.0,4.46,0.06,-0.16,0.0
3634,4082.0,39.2,-37.69,0.0,0.61,0.03,-0.03,0.0,0.66,0.41,-0.25,0.0,-0.2,0.1,-0.1,0.0,4.69,0.2,-0.2,0.0
